x_px,y_px,x_3D_local,y_3D_local,comment
460,706,0,0,"Parallelogram, same as world frame"
1099,716,6,6,
1497,925,12,6,
733,911,6,0,
795,179,0,0,"Box: L, Square: T"
1116,280,0,6,
700,415,6,6,
399,273,6,0,
399,273,0,0,"Box: L, Square: L"
700,415,0,6,
733,911,6,6,
460,706,6,0,
1116,280,0,0,"Box: L, Square: R"
1099,716,0,6,
733,911,6,6,
700,415,6,0,
1413,185,0,0,"Box: R, Square: T"
1848,288,0,6,
1578,425,6,6,
1116,280,6,0,
1116,280,0,0,"Box: R, Square: L"
1578,425,0,6,
1497,925,6,6,
1099,716,6,0,
1848,288,0,0,"Box: R, Square: R"
1751,726,0,6,
1497,925,6,6,
1578,425,6,0,
487,314,0,0,"Box: L, Rect w/ triangle: 4L3R(hypotenuse 5)"
927,342,0,5,
931,805,6,5,
540,766,6,0,
994,320,0,0,"Box: L, Rect w/ triangle: 3L4R(hypotenuse 5)"
990,774,0,6,
585,799,5,6,
535,337,5,0,
1324,346,0,0,"Box: L-R, Rect w/ triangle: 4L3R(hypotenuse 5)"
1281,811,0,6,
868,839,5,6,
857,364,5,0,
927,342,0,0,"Box: L-R, Rect w/ triangle: 3L4R(hypotenuse 5)"
1403,370,0,5,
1349,847,6,5,
931,805,6,0,
1251,322,0,0,"Box: R, Rect w/ triangle: 4L3R(hypotenuse 5)"
1725,350,0,5,
1635,817,6,5,
1217,778,6,0,
1770,327,0,0,"Box: R, Rect w/ triangle: 3L4R(hypotenuse 5)"
1675,785,0,6,
1281,811,5,6,
1324,346,5,0,
